Corrected,Corrected,Corrected,Corrected,Corrected,Corrected
706173.25757856469,669422.88350566383,767511.3562350279,0,0,0
2916288.0743341786,3420312.7050024932,2956151.3861460127,0,100367.16501361199,0
275513.9015599353,523928.89794842748,565003.74509909272,0,0,0
1032602.8944364842,1350519.0944820046,952485.57183864096,0,0,0
460130.82264855463,727091.99055687035,669077.54606008157,0,0,0
1713962.7588955518,1928728.8232856642,2021379.6595526738,0,0,0
1070220.5246096815,1345439.0547641783,773932.21515673993,0,0,0
2891199.9885642398,3803279.5365169127,3174566.6143429046,0,0,0
1165795.6770920258,1856987.5964567554,192301.12328939175,0,0,0
3722193.184342958,4918234.0894257799,3976782.7335881838,0,51036.912277082309,0
0.0,0.0,0.0,0,0,0
4134359.6808425165,5221578.3464884637,5057212.6882041954,0,0,0
1015890.836434594,1345563.5794336046,1534829.5589411578,0,0,0
305445.59762879933,0.0,211454.57694205947,0,0,0
0.0,208798.55708793685,106559.95962971899,0,0,0
1084669.206187583,1562374.1641479456,2066370.9708949565,0,0,0
189940.29657544516,353247.10696585238,165718.77088709932,0,0,0
468988.27497425501,555947.39941688778,579902.35577333893,0,0,0
15505.001851371457,236542.88468963242,181987.74864689974,0,0,0
268681.62111293402,220230.17955531683,233598.82829396683,0,0,0
207357.46539389744,336473.71592274489,176209.38974694183,0,0,0
449135.98366293689,810167.0838340132,555363.72846873011,0,0,0
263809.61910622474,316220.55367778667,332600.36012617568,0,0,0
667059.88094154361,869501.05384848593,846922.48890509387,0,0,0
228250.82151375958,449401.65366879775,282795.74918960279,0,0,0
393849.87787491025,788846.18066329055,874582.14997398865,0,0,0
216806.14218367194,361570.61061903305,281460.04590519378,0,0,0
221857.20257897329,513870.12927518063,624111.26945377456,0,0,0
36734.189358182193,110395.35998424415,160023.81684950861,0,0,0
71599.100391295025,336604.5522626962,173807.6589137649,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
30760250.92469056,33360894.209237237,29890161.327719379,48779432.595008798,14683123.703256192,8104637.4433810944
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,661249.48533849581,2345337.4040550324,0.0
4555297.6868354734,5147915.3023333326,4181490.5201979685,103720064.00056614,135044420.81312111,121752807.6991135
410912.4743672355,0.0,0.0,0.0,0.0,0.0
368163.88062027632,583513.52789791417,413059.99967437331,833796.88577889546,1715666.8668699798,830597.7356642714
0.0,0.0,34813.239079635765,370651.6469295274,0.0,208565.73690818751
0.0,0.0,0,449292.08329886821,0.0,22753.194409203403
0,0,0,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
238477.52783266502,282229.73566077556,224543.98462142859,66566.089686514286,0,0
634204.87242791452,538934.53287769109,444899.5247666075,1084227.3804855982,1023956.0311148765,1332706.5263229243
125952.54299656207,105362.45270957431,207502.46193387909,506881.42140287603,576552.47767287178,302873.15927135875
162240.56788128626,90327.659036244891,127902.82411474026,0.0,0,0
0,0,0,0.0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
